"Title","Department","Description"
"Foreman 3","Operations","Foreman 3
Section 1: What Does a Foreman 3 Do?
A Foreman 3 is an experienced leader who has a proven track record of managing large-scale projects successfully. They focus on budget management, quality control, and overseeing multiple teams and Leadmen. They are also responsible for mentoring and training the next generation of foremen.
Section 2: What Skills Are Required of a Foreman 3?
Extensive experience managing budgets and overseeing large projects
Strong leadership and mentoring skills
Completion of at least one positive performance review as a Foreman 2
Section 3: Recommended Credentials
Attendance at two outside trade-related classes, one being computer-related
CEU training for license renewal
"
"General Foreman","Operations","Job Title: GENERAL FOREMAN
Department: Operations
Supervisor: Project Manager 
The selection of a GSL Electric General Foreman is a function based on the needs of the company, the employee’s education, knowledge, skills, experience, competency and performance.  
Qualifications: Journeyman or Masters License or equivalent education and experience. Certification as a GSL Safety Coordinator, including current certification in Standard First Aid and Adult CPR. Must have three to five years’ experience as a foreman. Current state issued Driver’s License. OSHA 30 may also be required in some states. To perform the job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Summary: Directly supervise 2 or more foremen in the Field Operations for the installation, maintenance and repair of electrical installations. Carry out supervisory responsibilities in accordance with the organization’s policies and applicable laws. Responsibilities include training employees, planning, assigning, and directing work; Monitoring of critical path items; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems.  Primary responsibility is to bring the project in “Safely, On Time and within Budget”.
Essential Duties and Responsibilities:
	Include the following but are not all inclusive, other duties may be assigned.
SAFETY
Full implementation of GSL’s Loss Control Program at the foreman level, including direct responsibility for a crew's safety and enforcement of all company policies and procedures.
Hold weekly safety meetings.
OPERATIONS
Protecting the interests of GSL Electric by insuring all employees represent the company in a manner that represents the highest ethical behavior, including dress, grooming, speech and professional conduct 
Knowledge and utilization of all GSL standard operating procedures such as disciplinary policy, estimating, job set-up/close out, job plans, purchase orders, scheduling, reports, contract status, time cards, tool control, work vouchers, etc.
Understand the contract and the required change order procedures and support the PM as needed.
Understand and follow the Project Specifications.
Become familiar with all approved submittals and assure that what we receive from the vendors complies with the approved submittal.
Integration of change orders into the scope of work.
Develop and promote positive client relations
Manage the field installation for projects 
Become completely familiar with the project scope, site conditions, schedule and equipment being installed.
Training, protecting and managing employees over whom you are assigned.
Materials requisitioning, storing and staging.
Plan, schedule, train, follow through and promote teamwork to accomplish the company's objective of achieving profitable operations through safety, craftsmanship and productivity
Maintain a proper ratio of apprentice’s to assure that the average hourly rate is in sync with the estimate.
Job Plan management. This includes updating the Project Hours to Complete
Update the PM weekly on the progress of the project.
Maintain all field records for the projects
Time cards
Schedules
Manpower Projections
Daily Reports
Drawings
Incorporating all:
ASI’s
COR’s
RFI’s
As-built information
FIELD LABOR ISSUES:
Enforce GSL’s Attendance Policies
Assure GSL only pays for the hours worked
Assure that breaks are not planned or organized but are used on an “as needed basis”.
Productivity
Plan and facilitate the installations in an efficient manner
Quality
Ensure that the materials are installed in compliance with the specifications and in a craftsman like manner therefore requiring a minimum of re-work.
Training to attain the highest level of production and quality

Competencies:
	To perform the job successfully, an individual should demonstrate the following competencies:

Analytical – 
Synthesizes complex or diverse information; collects and researches data; uses intuition and experience to complement data; designs work flows and procedures
	Continuous Learning –
Assesses own strengths and weaknesses; seeks feedback to improve performance’ pursues training and development opportunities; strives to continuously build knowledge and skills; shares expertise with others.
	
Job Knowledge
Competent in required skills and knowledge; exhibits ability to learn and apply new skills; keeps abreast of current developments; requires minimal supervision; displays understanding of how the job relates to others; uses resources effectively.
	Use of Technology – 
Demonstrates the required skills; adapts to new technologies; troubleshoots technological problems; uses technology to increase productivity; keeps technical skills up to date.
	Design – 
Generates creative solutions; translates concepts and information into images; uses feedback to modify designs; applies design principles; demonstrates attention to detail.
	Problem Solving – 
Identifies and resolves problems in a timely manner; gathers and analyzes information skillfully; develops alternative solutions; works well in group problem solving situations; uses reason even when dealing with emotional topics.
	Project Management – 
Coordinates the field operations of the project; communicates changes and progress; completes the project “Safely, On Time and within Budget”; manages the field project team activities.
	Customer Service – 
Manage difficult or emotional customer situations; responds promptly to customer needs; solicits customer feedback to improve service; responds to request for service and assistance; meets commitments.	
Communications – 
Expresses ideas and thoughts verbally; expresses ideas and thoughts in written forms; exhibits good listening and comprehension; keeps others adequately informed; selects and uses the appropriate communication method.
	Cooperation – 
Establishes and maintains effective relations; exhibits tact and consideration; offers assistance and support to co-workers; works cooperatively in group situations; works actively to resolve conflict.
	Teamwork –
Balances team and individual responsibilities; exhibits objectivity and openness to others’ views; gives and welcomes feedback; contributes to building a positive team spirit; puts the success of the team above own interest; able to build morale and group commitments to goals and objectives; supports everyone’s’ efforts to succeed.
	Change Management –
Develops workable implementation plans; communicates changes effectively; builds commitment and overcomes resistance; prepares and supports those affected by change; monitors transition and evaluates results.
	Performance Coaching –
Defines responsibilities and expectations; sets goals and objectives; gives performance feedback; motivates for increased results; recognizes contributions; encourages training and development.
	Delegation – 
Delegates work assignments: matched the responsibility to the person; gives authority to work independently; sets expectations and monitors delegated activities; provides recognition for results.
Leadership – 
Exhibits confidence in self and others; inspires and motivates others to perform well; effectively influences actions and opinions of others; accepts feedback from others; gives appropriate recognition to others.
	Cost Consciousness –
Works within approved budget; develops and implements cost saving measures; contributes to the profits and revenue; conserves organizational resources.
	Diversity –
Demonstrates knowledge of EEO policy; shows respect and sensitivity for cultural differences; educates others on the value of diversity; promotes a harassment free environment; builds a diverse workforce.
	Ethics – 
Treats people with respect; keeps commitments; inspires the trust of others; works with integrity and principles; upholds organizational values.
	Adaptability – 
Adapts to change in the work environment; manages competing demands; changes approach or method to best fit the situation; able to deal with frequent change, delays or unexpected events.
	Personal Appearance –
Dresses appropriately for the position; keeps self well groomed
	Business Acumen –
Understands business implications of decisions; displays orientation to profitability; demonstrates knowledge of market and competition; aligns work with strategic goals.
	Conflict Resolution - 
Encourages open communication; confronts difficult situations; maintains objectivity; keeps emotions under control; uses negotiation skills to resolve conflict.
	Attendance/Punctuality – 
Is consistently at work and on time; ensures work responsibilities are covered when absent; arrives at meetings and appointments on time.
	Dependability – 
Follows instructions, responds to management directions; takes responsibility for own actions; keeps commitments; commits to long hours of work when necessary to reach goals; completes task on time or notifies appropriate person with an alternate plan.
	Innovation –
Display original thinking and creativity; meet challenges with resourcefulness; generate suggestion for improving work; develops innovative approaches and ideas; presents ideas and information in a manner that gets others attention.
	Planning/Organizing
Prioritizes and plans work activities; uses time efficiently; plans for additional resources; sets goals and objectives; organizes and schedules other people and their task; develops realistic action plans.
Language Skills:
Ability to read and interpret documents such as safety rules, operating and maintenance instructions, procedure manuals and prints. Ability to write routine reports and correspondence. Must have the ability to speak effectively before groups of customers or employees of organization.
Mathematical Skills:
Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions and decimals. Ability to compute rate, ratio and percent and to draw and interpret bar graphs.
Reasoning Ability:
Ability to apply common sense understanding to carry out instructions furnished in written, oral or diagram form. Ability to deal with problems involving several concrete variables in standard situations.
Computer Skills:
To perform this job successfully, an individual should have an advanced knowledge of Excel (spreadsheet software), Word (word processing software), Outlook (email and contact management system), Bluebeam (PDF design software) and PlanGrid (document management software).
Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this Job, the employee is regularly required to use hands to finger, handle or feel; climb or balance; stoop, kneel, crouch or crawl; talk or hear and taste or smell. The employee is frequently required to walk and reach with hands and arms. The employee is occasionally required to stand or sit. The employee must regularly lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception and the ability to adjust focus.
Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this Job, the employee is regularly exposed to moving mechanical parts and outside weather conditions. The employee is frequently exposed to wet and/or humid conditions; high precarious places; extreme cold and extreme heat. The employee is occasionally exposed to fumes or airborne particles; toxic or caustic chemicals; risk of electrical shock and vibration. The noise level in the work environment is usually moderate."
"Human Resource Manager","Administration","7.4.1HUMAN RESOURCE MANAGEMENTPosition Title:							Human Resource Manager	Department:								CorporateSupervisor:								CFOEmployment Status:							Full Time/ExemptSummary of Duties and Responsibilities:The Corporate Human Resource Manager is responsible for the communication and implementation of GSL Electric’s Human Resource (HR) Policies and Procedures primarily set forth in Sections 2 and 3 of GSL’s Policies and Procedures.  The Human Resource Manager is responsible for recommending updates to Sections 2 and 3 of GSL’s Policies and Procedures as policy changes are needed for Federal, State, or local jurisdictional compliance.  This position is closely coordinated with GSL’s CFO, Branch Managers, General Superintendents, Department Managers, Payroll Managers, and Benefits Manager.Recruiting:Proactively sourcing candidates for various positions within the Company through Employee-Owner referrals, job boards employment databases, social media, career fairs, responding to applicants, conducting interviews, keeping up to date on employment law and legislation while promoting company’s reputation as the ‘best place to work’.  The scope of recruiting responsibilities including the following: Develop and implement GSL Electric’s overall recruiting strategy.Prepare recruitment materials and post jobs to appropriate job boards employment databases, internal Company postings, and through social media, etc.Source and recruit candidates based on Company management requests to fill positions, using Employee-Owner notifications of open positions, posting in databases, social media, and participating in career fairs, etc.Screen candidates’ resumes and job applications.For field electricians, ensure licensing is current and active, as required by the appropriate jurisdictions (ie. DOPL site for Utah).Conduct phone screens using various reliable recruiting and selection tools/methods.Assess applicants’ relevant knowledge, hard skills, soft skills, experience, abilities, and aptitudes.Prepare candidate information with a recap of the phone screen, send to hiring managers for review.Receive feedback from hiring managers.Schedule candidate interviews with General Superintendents or other hiring managers (using Outlook calendar).Send follow-up email to candidate to confirm interview details (using GSL template) and ensure they confirm the details.Send email to referring employee with referral form attached and instructions to complete (if applicable).Provide support and current market information to hiring managers and applicants through the recruitment process.   Gather and analyze data with useful HR metrics, i.e., time it takes to fill positions, calculating and tracking employee turnover rates, and reasons for terminations (quits, lay-offs, termination for cause, etc).Maintain employee files and records.Continually research and find new ways to promote the company and source for new candidates.Coordinate with applicant and hiring managers when a job offer has been made, including the following:Make copy of IDs (or receive scanned copies - when not on site), and complete I9 process.Enter and complete case in E-Verify.Onboarding:Conduct Power Point presentation outlining policies, procedures, and benefits.Review and outline the employee manual, emphasizing important information for them to refer to when needed.Review and assist with paperwork that needs to be completed (direct deposit form, benefit forms, policy sign off forms).Collect forms and scan into appropriate folder for new hires.Ensure all updates are made and information is current on an ongoing basis pertaining to policies, procedures, and benefits. Entry Interviews:Assign and coordinate Entry Interviews to be conducted by supervisors of newly hired Employee-Owners. Follow up to ensure Entry Interviews have been completed with copies uploaded into HR Management Software. 30-Day HR Engagement Interviews:Initiate contact with new hires at about 30 days after hire to review checklist and answer any questions or concerns of new hires to help ensure they are engaging with their supervisor and with the Company.  Be sure Employee-Owners are accessing GSL’s emails and text messaging to facilitate communication within the Company.  Provide any follow-up information for the new hires as needed.  Relay any issues of concern to supervisors or higher levels of management as necessary.Annual Engagement Interviews:Conduct Annual Engagement Interviews for GSL Employee-Owners to ensure engagement with supervisors and the Company in general.  Be sure Employee-Owners are accessing GSL’s emails and text messaging to facilitate communication withing the Company.  Provide any follow-up information for the Employee-Owners as needed.  Relay any issues of concern to supervisors or higher levels of management as necessary.  Report tracking of Annual Engagement Interviews to the CFO, who will share this information with the Executive Committee.Performance Reviews:Manages the Performance Management System that GSL is utilizing to help ensure that the semi-annual or annual Performance Reviews are being conducted by the designated supervisors.  Reports the tracking of Performance Reviews to GSL’s CFO, who will share this information with the Executive Committee. Corrective Counseling:When an apparent violation of Company policy or procedures occurs, ensure the appropriate corrective counseling has been completed and documented.  Provide training to supervisors as needed on corrective counseling objectives and procedures.Terminations:When possible, conduct a Termination Interview prior to or soon after an Employee-Owner is leaving the Company or has left the Company.  Provide the information to GSL’s CFO who will share this information with the Executive Committee. Annual EEO1 Reporting:Use GSL’s internal information or GSL’s Human Resource Management software to prepare the Annual EEO1 reports and submit GSL’s EEO1 reports by the designated deadlines.As Assigned/As Necessary/On Occasion:Perform research and due diligence and follow through with compliance tasks.Maintain awareness of new, relevant Federal, State, or local jurisdictional labor laws and monitor current HR trends. Perform tasks and research as assigned or upon request by GSL Management.Qualifications:High School diploma or equivalent. Two-year to four-year degree with two years of experience, or five years of equivalent work experience.Essential Job Functions: The Human Resource Manager position requires the following essential job functions: Proficiency in Microsoft Office applications; typing at least 50 words per minute; excellent interpersonal skills with GSL Electric’s Employee-Owners  and outside vendors; ability to provide support to GSL’s Employee-Owners while communicating with GSL’s managers and executives; high level of written and verbal communications skills; prefer experience in a professional environment; strong data entry and spreadsheet experience; ability to multi-task and follow directives.  Company specific software training will be provided.Competencies, such as:Analytical Skills	    Customer Service		Delegation		Business AcumenContinuous Learning	    Communications		Leadership		Conflict ResolutionJob Knowledge	    Cooperation			Cost Consciousness	Attendance Use of Technology	    Diversity			Punctuality		Design Ability		    Teamwork		    Ethics			Dependability		Problem Solving	    Change Management	    Adaptability			Innovation		Managing Projects	    Performance Coaching   Personal Appearance	Planning/OrganizingPhysical Requirements:	Typical office working requirements allowing for significant hours devoted to computer time, email, and phone communications as required with Employee-Owners.Working Conditions:     Professional office working conditions.  Standard workdays and additional outside the office workhours may be required to meet deadlines and the needs of GSL’s Employee-Owners.Knowledge Requirements: Sufficient experience and training to be competent in following Federal, State and local jurisdictional labor laws.Skills and    Ability Requirements: Excellent communication and interpersonal skills.Problem Solving:Strong decision-making skills.Conflict resolution, ability to listen and talk with employees and offer resources if needed. Experience Requirements:Proven work experience as a Recruiter (either an in-house recruiter or a staffing agency recruiter).Familiarity with HR databases, Applicant Tracking Systems (ATS), and Candidate Management Systems (CMS) or Performance Management Systems (PMS).Hands-on experience with recruiting software, as well as Human Resource Information Systems (HRIS) or Human Resource Management Systems (HRMS). "
"Journeyman 2","Operations","Journeyman 2
Section 1: What Does a Journeyman 2 Do?
A Journeyman 2 takes on more advanced responsibilities such as troubleshooting basic power and control systems. They are skilled in raceway systems and competent in understanding and installing electrical systems. Additionally, Journeyman 2s mentor apprentices and other electricians while consistently meeting production demands.
Section 2: What Skills Are Required of a Journeyman 2?
Proficiency in raceway systems layout and installation
Troubleshooting basic power and control systems
Competency in control systems
Ability to plan tasks, develop material lists, and train others
Completion of at least one positive performance review as a Journeyman 1
Section 3: Recommended Credentials
Attendance at two outside trade-related classes (minimum of 4 hours each)
CEU training for license renewal
"
"Journeyman 3","Operations","Journeyman 3
Section 1: What Does a Journeyman 3 Do?
A Journeyman 3 is an experienced electrician with advanced knowledge of raceway systems, complex wire pulls, and multiple control systems. They take on specialized systems like lighting control and fire alarm systems, and their troubleshooting skills are more advanced. They may also mentor lower-level electricians.
Section 2: What Skills Are Required of a Journeyman 3?
Advanced knowledge of raceway systems
Ability to handle large wire pulls and multiple control systems
Proficient in ladder logic and ladder diagrams
Advanced troubleshooting capabilities
Completion of at least one positive performance review as a Journeyman 2
Section 3: Recommended Credentials
Attendance at two outside trade-related classes
CEU training for license renewal
"
"Journeyman Electrician","Operations","3.2.2JOURNEYMAN ELECTRICIANElectrical apprentices who have completed 144 hours of apprenticeship course work each year of their four-year apprenticeship program and have completed 8,000 hours of on the job training are qualified to take the journeyman's examination (Utah Licensure Requirement).After passing the journeyman electrician examination and after licensure as a journeyman electrician, the job description for a GSL Electric journeyman includes but is not limited to the following:1.	All responsibilities and expectations of apprentice level electricians.2.	A focus on teaching, training, and mentoring apprentice electricians and others.3.	Obtaining advanced knowledge, training and experience in technical areas such as transformers, conductor sizing, load calculations, blueprint reading, controls logic, instrumentation, programmable logic controllers, lighting layout, lightning protection, grounding, high voltage systems, fire alarm systems, security systems, telephone/data systems, fiber optics, harmonics and power factor.4.	A primary focus on industrial and commercial electrical work.5.	Proficiency in utilizing GSL’s standard operating procedures and lean construction principles.6.	Prepare to move into management by taking advantage of training and field experience opportunities.See the Journeyman Electrician Job Description Below -Job Title: JOURNEYMAN ELECTRICIANDepartment: OperationsSupervisor: Forman/General Foreman The selection of a GSL Electric Journeyman is a function based on the needs of the company, the employee’s education, knowledge, skills, experience, competency and performance.  Qualifications: Journeyman or Masters License or equivalent education and experience. Current state issued Driver’s License is recommended. OSHA 10 may also be required in some states. To perform the job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Summary: The installation, maintenance and repair of electrical installations. Carry out installation responsibilities in accordance with the organization’s policies and applicable laws. Responsibilities include field installation on projects as directed by the Foreman, training apprentices, planning and carrying out assigned work.  Primary responsibility is to bring the project in safely and within the installation parameters set forth in the Job Plan.Essential Duties and Responsibilities:	Include the following but are not all inclusive, other duties may be assigned.SafetyTotal commitment and compliance to GSL Electrics Safety Program.Protecting the interests of GSL Electric by insuring that you present yourself in a manner that represents the highest ethical behavior, including dress, grooming, speech and professional conduct Knowledge and utilization of the NEC.Ability to read and interpret printsUnderstand and follow the Project Specifications.Be production oriented with an emphasis on qualityTrain Apprentices in the tradeCompetencies:To perform the job successfully, an individual should demonstrate the following competencies:Analytical – Synthesizes complex or diverse information; collects and researches data; uses intuition and experience to execute the work		Continuous Learning –Assesses own strengths and weaknesses; seeks feedback to improve performance; pursues training and development opportunities; strives to continuously build knowledge and skills; shares expertise with others.	Job Knowledge -Competent in required skills and knowledge; exhibits ability to learn and apply new skills; keeps abreast of current developments; requires minimal supervision; displays understanding of how the job relates to others; uses resources effectively.		Use of Technology – Demonstrates the required skills; adapts to new technologies; troubleshoots technological problems; uses technology to increase productivity; keeps technical skills up to date.		Design – Generates creative solutions; translates concepts and information into images; uses feedback to modify designs; applies design principles; demonstrates attention to detail.		Communications – Expresses ideas and thoughts verbally; expresses ideas and thoughts in written forms; exhibits good listening and comprehension; keeps others adequately informed; selects and uses the appropriate communication method.		Cooperation – Establishes and maintains effective relations; exhibits tact and consideration; offers assistance and support to co-workers; works cooperatively in group situations; works actively to resolve conflict.		Teamwork –Balances team and individual responsibilities; exhibits objectivity and openness to others’ views; gives and welcomes feedback; contributes to building a positive team spirit; puts the success of the team above own interest; able to build morale and group commitments to goals and objectives; supports everyone’s’ efforts to succeed.			Diversity –Show respect and sensitivity for cultural differences; recognize the value of diversity; promotes a harassment free environment.		Ethics – Treats people with respect; keeps commitments; inspires the trust of others; works with integrity and principles; upholds organizational values.		Adaptability – Adapts to change in the work environment; manages competing demands; changes approach or method to best fit the situation; able to deal with frequent change, delays or unexpected events.		Personal Appearance –				Dresses appropriately for the position; keeps well groomed		Attendance/Punctuality – Is consistently at work and on time.				Dependability – Follows instructions, responds to management directions; takes responsibility for own actions; keeps commitments; commits to long hours of work when necessary to reach goals; completes task on time or notifies appropriate person with an alternate plan.	Language Skills:	Ability to read and interpret documents such as safety rules, operating and maintenance 	instructions, procedure manuals and prints. Mathematical Skills:	Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, 	common fractions and decimals. Reasoning Ability:	Ability to apply common sense understanding to carry out instructions furnished in 	written, oral or diagram form. Ability to deal with problems involving several concrete 	variables in standard situations.Physical Demands:	The physical demands described here are representative of those that must be met by an 	employee to successfully perform the essential functions of this job. Reasonable 	accommodations may be made to enable individuals with disabilities to perform the 	essential functions.	While performing the duties of this Job, the employee is regularly required to use hands 	to finger, handle or feel; climb or balance; stoop, kneel, crouch or crawl; talk or hear and 	taste or smell. The employee is frequently required to walk and reach with hands and 	arms. The employee is occasionally required to stand or sit. The employee must regularly 	lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. 	Specific vision abilities required by this job include close vision, distance vision, color 	vision, peripheral vision, depth perception and the ability to adjust focus.Work Environment:	The work environment characteristics described here are representative of those an 	employee encounters while performing the essential functions of this job. Reasonable 	accommodations may be made to enable individuals with disabilities to perform the 	essential functions.	While performing the duties of this Job, the employee is regularly exposed to moving 	mechanical parts and outside weather conditions. The employee is frequently exposed to 	wet and/or humid conditions; high precarious places; extreme cold and extreme heat. The 	employee is occasionally exposed to fumes or airborne particles; toxic or caustic 	chemicals; risk of electrical shock and vibration. The noise level in the work environment 	is usually moderate."
"Lead Journeyman","Operations","3.2.3LEAD JOURNEYMANAt the discretion of GSL management, a Journeyman Electrician may be designated as a Lead Journeyman to perform the following duties:1.	All functions of a GSL Journeyman Electrician.2.	Close supervision and training of a small work crew.3.	Implementation of lean construction principles. 	4.	Other personnel, administrative, and safety functions as directed by his or her GSL Foreman.Lead Journeyman positions may be of temporary duration based on the leadership needs required on specific projects. "
"Leadman 1","Operations","Leadman 1
Section 1: What Does a Leadman 1 Do?
A Leadman 1 manages a small crew under the supervision of a Foreman while still performing journeyman duties. They review timecards, conduct Tool Box Safety Meetings, coordinate with other trades, and are involved in training apprentices and journeymen.
Section 2: What Skills Are Required of a Leadman 1?
Ability to manage a small crew
Timecard verification and job impact reporting to the Foreman
Basic computer skills
Participation in employee performance evaluations
Completion of at least one positive performance review as a Journeyman 2 or 3
Section 3: Recommended Credentials
Attendance at two outside trade-related classes, including one computer-related course
CEU training for license renewal
"
"Leadman 2","Operations","Leadman 2
Section 1: What Does a Leadman 2 Do?
A Leadman 2 demonstrates the ability to manage larger crews and communicate effectively with clients. They begin coordinating schedules and material needs with the Foreman. They also complete safety training and prepare for advancement to the Foreman role.
Section 2: What Skills Are Required of a Leadman 2?
Competence in managing larger crews
Client interaction skills
Coordination of 3-week look-ahead and material requirements
Completion of GSL Safety Coordinator training
Participation in the Foreman Training Program
Completion of at least one positive performance review as a Journeyman 3 or Leadman 1
Section 3: Recommended Credentials
Attendance at two outside trade-related classes, one being computer-related
CEU training for license renewal
"
"Leadman 3","Operations","Leadman 3
Section 1: What Does a Leadman 3 Do?
A Leadman 3 continues managing larger crews and projects, addressing production issues, and motivating their team. This role involves more significant responsibility for resolving project concerns and completing advanced electrical tasks.
Section 2: What Skills Are Required of a Leadman 3?
Advanced crew management skills
Ability to resolve production issues
Ability to handle complex project tasks
Completion of at least one positive performance review as a Leadman 2
Section 3: Recommended Credentials
Attendance at two outside trade-related classes, one being computer-related
CEU training for license renewal
"
"Leadman Level 1 - Position Description","Operations","
Leadman Level 2 (Mid-Level Leadman)
Position Description:
A mid-level Leadman is responsible for overseeing larger crews, taking on more independent planning responsibilities, and ensuring that work is completed efficiently. This position requires a higher level of technical knowledge and the ability to coordinate resources and manage more complex tasks.
Skills and Competencies Needed:
Intermediate Leadership: Ability to supervise larger crews and independently assign tasks.
Project Scheduling: Developing short-term task schedules and coordinating with the Foreman.
Advanced Communication: Effectively leading crew huddles and reporting to Foreman or Project Manager.
Advanced Electrical Knowledge: Capable of handling complex electrical systems and troubleshooting.
Resource Management: Managing materials, tools, and labor allocation efficiently.
Quality Control: Ensuring all installations meet industry and project standards.
Mentorship: Providing technical guidance and on-the-job training for less experienced electricians.
Training Courses:
Project Scheduling and Resource Management
Advanced Electrical Systems
Lean Construction Principles
Quality Assurance and Control
Project Specifications and Field Documentation
Procore for Electrical Contractors
Motivating and Building Teams
"
"Leadman Level 2 - Position Description","Operations","Leadman Level 3 (Senior Leadman)
Position Description:
A senior Leadman manages large crews and complex tasks, working closely with the Foreman or Project Manager to ensure the successful execution of projects. This position demands a mastery of technical skills, leadership capabilities, and project management experience. Senior Leadmen often serve as mentors and key decision-makers on-site.
Skills and Competencies Needed:
Advanced Leadership: Strong supervisory skills with the ability to manage larger teams and handle more complex tasks.
Strategic Project Management: Overseeing project schedules, resource allocation, and coordinating with multiple teams or trades.
Mastery of Electrical Systems: Expertise in troubleshooting and resolving complex electrical problems.
Lean Construction: Ability to implement and lead Lean construction initiatives on-site to improve productivity and reduce waste.
Quality Assurance: High attention to detail in ensuring all installations meet project specifications and high standards.
Mentorship and Development: Serving as a mentor for junior crew members and developing future leaders.
Financial Acumen: Understanding job cost versus estimates and ensuring project alignment with budget.
Training Courses:
Mentorship and Training for Field Leaders
Project Scheduling and Resource Management (Advanced)
Conflict Resolution and People Management (Advanced)
Lean Construction Principles (Advanced)
Advanced Electrical Systems (Mastery)
Quality Assurance and Inspection (Advanced)
Job Cost versus Estimates Reports
Daily Reporting and Documentation (Advanced)
"
"Leadman Levels - Skills and Training Summary","Operations","Summary of Skills, Competencies, and Training by Level:

Leadman Level 1:
Key Skills: Basic leadership, task management, safety compliance, electrical knowledge, communication, teamwork.
Training:
Supervisory Skills for Electrical Leaders
Task Management and Prioritization
Conflict Resolution and People Management
OSHA 30-Hour Construction Safety Certification
Electrical Code Compliance (NEC)
Blueprint Reading and Interpretation
Effective Communication for Leaders

Leadman Level 2:
Key Skills: Intermediate leadership, project scheduling, advanced electrical knowledge, resource management, quality control, mentorship.
Training:
Project Scheduling and Resource Management
Advanced Electrical Systems
Lean Construction Principles
Quality Assurance and Control
Project Specifications and Field Documentation
Procore for Electrical Contractors
Motivating and Building Teams

Leadman Level 3:
Key Skills: Advanced leadership, strategic project management, mastery of electrical systems, Lean construction, quality assurance, mentorship, financial acumen.
Training:
Mentorship and Training for Field Leaders
Project Scheduling and Resource Management (Advanced)
Conflict Resolution and People Management (Advanced)
Lean Construction Principles (Advanced)
Advanced Electrical Systems (Mastery)
Quality Assurance and Inspection (Advanced)
Job Cost versus Estimates Reports
Daily Reporting and Documentation (Advanced)
"
"Low Voltage Systems","Operations","7.3.5LOW VOLTAGE SYSTEMSEstimator Project ManagerLow Voltage Systems Manager"
"LV Branch Safety Superintendent","Safety","LAS VEGAS BRANCH SAFETY SUPERINTENDENT

Job Description: The Las Vegas Branch Safety Superintendent will provide timely and effective safety support to all projects within the branch. Provide mentoring and ensure effective & efficient implementation of the company safety program. In addition, and as time permits, he/she will offer additional support to the Branch General Superintendent.

Position Title & Location: Safety Superintendent, Las Vegas Branch
Department: Safety
Supervisor: Branch General Superintendent
Employment Status: Full-time

Qualifications: Basic computer skills including, Outlook & Microsoft Office.
Experience Requirements: Four (4) years of electrical trade experience.

Summary of Duties and Responsibilities: Under the direction of the Corporate Safety Director, the Branch Safety Superintendent effectively implements company safety programs, practices, and procedures to reduce the frequency and severity of accidental loss in the areas of worker's compensation, general and auto liability, and property; ensures company compliance with federal, state, and local regulations, which are designed to protect the human, financial, and physical assets of the company; creates a branch-wide safety culture through safety training, risk assessments, and behavior modification programs.

Characteristic Job Tasks and Responsibilities:
1. Member of the Safety Committee - report on current safety situations, concerns, and progress.
2. Assist the Safety Director in developing compliance programs.
3. Assist with and review the Project Safety Plan and Project Safety Expectations.
4. Assist and insure that Project Field Safety Folders are assembled and organized.
5. Perform required Safety Inspections and Safety Audits.
6. Conduct claims investigations and evaluate risk management claims information.
7. Perform regular physical inspections of company projects, equipment, and operations.
8. Provide ongoing safety and loss prevention training.
9. Provide one-on-one performance reviews with Safety Coordinators within the branch.
10. Administer disciplinary action in strict accordance with the GSL disciplinary policy.
11. Address all branch safety concerns and/or safety topics in the monthly Foreman Meetings.

Knowledge, Skills, Abilities and Personal Characteristics:
- Knowledge of federal, state, and local loss prevention regulations
- Verbal and written communication skills
- Interpersonal/human relations skills
- Planning/organizational skills
- Ability to implement, and control our safety program
- Ability to conduct safety inspections of company projects and equipment
- Basic computer skills including Outlook & Microsoft Office"
